,index,method,dataset,model_name,backbone,width_mult,depth_mult,scenario,B,P,num_states,budget,acc@1,acc@5,acc1_std,acc5_std
60,60,deesil,imagenet_flora,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,5,5,20,3000000.0,15.92,48.83,,
61,61,deesil,imagenet_flora,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,10,10,10,3000000.0,26.82,62.5,,
62,62,deesil,imagenet_flora,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,25,25,4,3000000.0,46.95,80.45,,
63,63,deesil,imagenet_flora,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,6,11,3000000.0,41.88,76.3,,
64,64,deesil,imagenet_flora,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,10,7,3000000.0,48.44,80.46,,
65,65,deesil,imagenet_flora,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,15,5,3000000.0,54.75,83.85,,
66,66,deesil,imagenet_flora,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,5,5,20,6000000.0,25.29,63.02,,
67,67,deesil,imagenet_flora,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,10,10,10,6000000.0,39.52,75.09,,
68,68,deesil,imagenet_flora,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,25,25,4,6000000.0,50.47,82.05,,
69,69,deesil,imagenet_flora,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,6,11,6000000.0,47.21,77.27,,
70,70,deesil,imagenet_flora,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,10,7,6000000.0,53.05,81.6,,
71,71,deesil,imagenet_flora,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,15,5,6000000.0,56.43,83.2,,
72,72,deesil,imagenet_flora,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,5,5,20,1500000.0,22.73,58.91,,
73,73,deesil,imagenet_flora,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,10,10,10,1500000.0,36.11,71.38,,
74,74,deesil,imagenet_flora,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,25,25,4,1500000.0,48.42,80.47,,
75,75,deesil,imagenet_flora,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,6,11,1500000.0,42.62,75.56,,
76,76,deesil,imagenet_flora,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,10,7,1500000.0,47.24,79.67,,
